time,signal,buy_price,sell_price,amount,gross_profit,fees,net_profit,latency,slippage
2025-04-09T19:18:49.535294,Auto SELL BTC/USDT,77371.61705357589,78112.76338941645,0.006412404626873293,4.752530193134194,0.0,4.752530193134194,0.10719211548180102,0.0008575949542925039
2025-04-09T19:20:07.048604,Auto SELL BTC/USDT,77747.5859225198,78789.84239713216,0.004487870373869306,4.677511954386313,0.0,4.677511954386313,0.16087102782636964,0.000978325571757898
2025-04-09T19:21:56.022552,Auto SELL BTC/USDT,78534.55232099553,79551.95030303889,0.004930702094266213,5.0164863607634125,0.0,5.0164863607634125,0.10631692589261738,0.0018084916718754665
2025-04-09T19:26:01.478922,Auto SELL BTC/USDT,79621.970184471,80673.87597853088,0.006202120073238766,6.5240460404948974,0.0,6.5240460404948974,0.08109133948560668,0.0015515495129548428
2025-04-09T19:28:05.592986,Auto SELL BTC/USDT,80777.66099325048,80936.00874453227,0.006184709650177615,0.979334865436422,0.0,0.979334865436422,0.18393226148084407,0.0019636323393506265
2025-04-09T19:29:59.952530,Auto SELL BTC/USDT,80719.07327943035,80925.9690213563,0.0029378508100822032,0.6078288230197201,0.0,0.6078288230197201,0.17282247235617354,0.0009653944808483262
2025-04-09T19:32:18.401099,Auto SELL BTC/USDT,80888.0819620818,81469.3612434217,0.006147092401544669,3.5731774534999294,0.0,3.5731774534999294,0.17528873087450864,0.0014888773859699249
2025-04-09T19:33:24.479390,Auto SELL BTC/USDT,81428.89552071157,81215.05253999161,0.006172682650198787,-1.319984856956874,0.0,-1.319984856956874,0.1329743611531108,0.0008408538521811437
2025-04-09T19:36:11.275436,Auto SELL BTC/USDT,81223.62324382011,81536.38254817728,0.006141197395866912,1.9207166254513917,0.0,1.9207166254513917,0.0921981452220446,0.001803877612135374
2025-04-09T19:38:32.747129,Auto SELL BTC/USDT,81351.44857388659,81435.85087917082,0.006154329572656418,0.5194396034110748,0.0,0.5194396034110748,0.170148798158834,0.0015491136927300244
2025-04-09T19:40:22.047519,Auto SELL BTC/USDT,81469.19661319509,81219.9124603922,0.006178241596160664,-1.540137722110516,0.0,-1.540137722110516,0.19525473786230202,0.0011029146698169638
2025-04-09T19:41:20.469616,Auto SELL BTC/USDT,81173.21614240458,81375.21707096511,0.006157793159159636,1.2438799360339494,0.0,1.2438799360339494,0.16915732795228072,0.001278273617418606
2025-04-09T19:42:31.105344,Auto SELL BTC/USDT,81306.69428809936,81070.803041453,0.0039014067698338968,-0.9203077066106906,0.0,-0.9203077066106906,0.14056862399559023,0.0011325021949364431
2025-04-09T19:44:20.221749,Auto SELL BTC/USDT,81155.9308781849,80999.26483565265,0.006189174383732852,-0.9696334572413906,0.0,-0.9696334572413906,0.06943208549693577,0.0012397706523277145
2025-04-09T19:48:44.572951,Auto SELL BTC/USDT,80925.34151942613,81582.93845639205,0.006141689514016236,4.038756212212752,0.0,4.038756212212752,0.0921789722813004,0.0011362191956627357
2025-04-09T19:49:39.140180,Auto SELL BTC/USDT,81599.01539035422,81386.12427004274,0.006164422122227639,-1.3123507316739376,0.0,-1.3123507316739376,0.11957284226781595,0.0005384470847437301
2025-04-09T19:50:22.167075,Auto SELL BTC/USDT,81349.09570427345,81293.21767673925,0.0061644983540791965,-0.34446000876376576,0.0,-0.34446000876376576,0.16420327523574738,0.0011639600611728872
2025-04-09T19:51:31.865215,Auto SELL BTC/USDT,81293.56152766079,81249.47697602332,0.0061627515998116285,-0.2716821411307867,0.0,-0.2716821411307867,0.10085804001959933,0.0019606290154660214
